player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
401923,Victor,Osimhen,Victor Osimhen,2025,141,victor-osimhen,Nigeria,Lagos,Nigeria,1998-12-29 00:00:00,Centre-Forward,Attack,right,186.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/401923-1779987631.png?lm=1,52.0,35.0,,https://www.transfermarkt.co.uk/victor-osimhen/profil/spieler/401923,TR1,Galatasaray Spor Kulübü,75000000.0,120000000.0
401931,,Jô,Jô,2023,3325,jotm,Brazil,Teófilo Otoni,Brazil,1995-05-01 00:00:00,Centre-Forward,Attack,left,192.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jotm/profil/spieler/401931,PO1,GD Chaves,300000.0,375000.0
401932,Christian,Ebere,Christian Ebere,2025,3711,christian-ebere,Nigeria,Abuya,Nigeria,1998-04-04 00:00:00,Centre-Forward,Attack,right,177.0,2028-12-31 00:00:00,Casa Soccer M9,https://img.a.transfermarkt.technology/portrait/header/401932-1719947765.png?lm=1,8.0,1.0,,https://www.transfermarkt.co.uk/christian-ebere/profil/spieler/401932,MEX1,Club de Fútbol Cruz Azul S.A. de C.V.,,
401935,Orji,Okwonkwo,Orji Okwonkwo,2022,1025,orji-okwonkwo,Nigeria,Benin City,Nigeria,1998-01-19 00:00:00,Right Winger,Attack,right,180.0,2024-06-30 00:00:00,QSM,https://img.a.transfermarkt.technology/portrait/header/401935-1634109024.jpg?lm=1,,,,https://www.transfermarkt.co.uk/orji-okwonkwo/profil/spieler/401935,IT1,Bologna Football Club 1909,1300000.0,2000000.0
401938,Amine,Khammas,Amine Khammas,2020,28643,amine-khammas,Belgium,Reet,Morocco,1999-04-06 00:00:00,Left-Back,Defender,left,174.0,2024-05-31 00:00:00,A-GROUP,https://img.a.transfermarkt.technology/portrait/header/401938-1523370996.jpg?lm=1,,,,https://www.transfermarkt.co.uk/amine-khammas/profil/spieler/401938,BE1,SK Beveren,700000.0,800000.0
401979,Abdoul Karim,Danté,Abdoul Karim Danté,2018,58,abdoul-karim-dante,,,Mali,1998-10-29 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/401979-1660895954.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdoul-karim-dante/profil/spieler/401979,BE1,Royal Sporting Club Anderlecht,75000.0,400000.0
401987,Siaka,Bagayoko,Siaka Bagayoko,2021,61825,siaka-bagayoko,Mali,Bamako,Mali,1998-07-04 00:00:00,Left-Back,Defender,left,172.0,,Berlin Sports - BFT,https://img.a.transfermarkt.technology/portrait/header/401987-1641717069.png?lm=1,,,,https://www.transfermarkt.co.uk/siaka-bagayoko/profil/spieler/401987,UKR1,FC Minaj,200000.0,200000.0
402002,Mamady,Diarra,Mamady Diarra,2022,2687,mamady-diarra,Mali,Bamako,Mali,2000-06-26 00:00:00,Right Winger,Attack,left,180.0,,WSMA,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mamady-diarra/profil/spieler/402002,ES1,Cádiz CF,300000.0,300000.0
402004,Mamadou,Fofana,Mamadou Fofana,2025,626,mamadou-fofana,Mali,Bamako,Mali,1998-01-21 00:00:00,Centre-Back,Defender,both,186.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402004-1771708000.jpg?lm=1,50.0,1.0,,https://www.transfermarkt.co.uk/mamadou-fofana/profil/spieler/402004,MLS1,New England Revolution,1800000.0,3500000.0
402008,Amadou,Haidara,Amadou Haidara,2025,826,amadou-haidara,Mali,Bamako,Mali,1998-01-31 00:00:00,Central Midfield,Midfield,right,178.0,2029-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/402008-1713945184.jpg?lm=1,50.0,2.0,,https://www.transfermarkt.co.uk/amadou-haidara/profil/spieler/402008,FR1,Racing Club de Lens,20000000.0,24000000.0
402010,Sékou,Koïta,Sékou Koïta,2025,820,sekou-koita,Mali,Kita,Mali,1999-11-28 00:00:00,Centre-Forward,Attack,left,173.0,2026-06-30 00:00:00,Ahmet Caliskan,https://img.a.transfermarkt.technology/portrait/header/402010-1721915630.png?lm=1,33.0,4.0,,https://www.transfermarkt.co.uk/sekou-koita/profil/spieler/402010,TR1,Gençlerbirliği Spor Kulübü,,
402029,Rahmi,Celik,Rahmi Celik,2015,3216,rahmi-celik,Cyprus,Lefke,Turkey,1995-08-11 00:00:00,Left-Back,Defender,left,,,,https://img.a.transfermarkt.technology/portrait/header/402029-1528029091.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rahmi-celik/profil/spieler/402029,TR1,Mersin Talimyurdu SK,,
402043,Mohamed,Zeroual,Mohamed Zeroual,2019,354,mohamed-zeroual,,,Belgium,1999-02-27 00:00:00,Attacking Midfield,Midfield,,169.0,,,https://img.a.transfermarkt.technology/portrait/header/402043-1484751113.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mohamed-zeroual/profil/spieler/402043,BE1,Yellow-Red Koninklijke Voetbalclub Mechelen,50000.0,50000.0
402050,Julian,de Blasis,Julian de Blasis,2015,6676,julian-de-blasis,,,Argentina,1995-12-07 00:00:00,,Missing,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julian-de-blasis/profil/spieler/402050,GR1,A.G.S Asteras Tripolis,,
402058,Konstantinos,Kapetanos,Konstantinos Kapetanos,2018,6676,konstantinos-kapetanos,,,Greece,1998-01-12 00:00:00,Goalkeeper,Goalkeeper,,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/konstantinos-kapetanos/profil/spieler/402058,GR1,A.G.S Asteras Tripolis,100000.0,100000.0
402079,Ignacio,Ramírez,Ignacio Ramírez,2025,1286,ignacio-ramirez,Uruguay,Mercedes,Uruguay,1997-02-01 00:00:00,Centre-Forward,Attack,right,180.0,2027-12-31 00:00:00,Sebastián Revetria,https://img.a.transfermarkt.technology/portrait/header/402079-1721743097.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ignacio-ramirez/profil/spieler/402079,ARG1,Club Atlético Newell’s Old Boys,1500000.0,2500000.0
402082,Wiston,Fernández,Wiston Fernández,2025,22902,wiston-fernandez,Uruguay,Montevideo,Uruguay,1998-01-04 00:00:00,Defensive Midfield,Midfield,left,182.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402082-1678206054.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/wiston-fernandez/profil/spieler/402082,COL1,Alianza FC,,
402106,Fodé,Camara,Fodé Camara,2016,595,fode-camara,Guinea,Conakry,Guinea,1998-04-17 00:00:00,Left-Back,Defender,left,165.0,2023-06-30 00:00:00,FÚTBOLMORRA,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fode-camara/profil/spieler/402106,FR1,SC Bastia,200000.0,400000.0
402112,Morlaye,Sylla,Morlaye Sylla,2025,50532,morlaye-sylla,Guinea,Conakry,Guinea,1998-07-27 00:00:00,Left Winger,Attack,right,170.0,2027-06-30 00:00:00,M-Soccermanagement,https://img.a.transfermarkt.technology/portrait/header/402112-1653431688.jpg?lm=1,41.0,8.0,,https://www.transfermarkt.co.uk/morlaye-sylla/profil/spieler/402112,SA1,Damac Football Club,2200000.0,3000000.0
402117,Jules,Keita,Jules Keita,2019,2969,jules-keita,Guinea,Conakry,Guinea,1998-07-20 00:00:00,Left Winger,Attack,right,168.0,,,https://img.a.transfermarkt.technology/portrait/header/402117-1624292217.png?lm=1,,,,https://www.transfermarkt.co.uk/jules-keita/profil/spieler/402117,FR1,Dijon FCO,300000.0,2000000.0
402126,Alhassane,Soumah,Alhassane Soumah,2018,6676,alhassane-soumah,,,Guinea,1999-10-23 00:00:00,Central Midfield,Midfield,right,166.0,,,https://img.a.transfermarkt.technology/portrait/header/402126-1668235538.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/alhassane-soumah/profil/spieler/402126,GR1,A.G.S Asteras Tripolis,50000.0,50000.0
402135,Jun-su,Ahn,Jun-su Ahn,2025,6505,jun-su-ahn,"Korea, South","Uijeongbu, Gyeonggi","Korea, South",1998-01-28 00:00:00,Goalkeeper,Goalkeeper,,188.0,2027-07-04 00:00:00,S&S SPORTS,https://img.a.transfermarkt.technology/portrait/header/402135-1446112523.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/jun-su-ahn/profil/spieler/402135,RSK1,Gimcheon Sangmu Football Club,,
402141,Dae-won,Park,Dae-won Park,2024,6505,dae-won-park,"Korea, South","Suwon, Gyeonggi","Korea, South",1998-02-25 00:00:00,Centre-Back,Defender,right,178.0,,Leeco Sports,https://img.a.transfermarkt.technology/portrait/header/402141-1589993220.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dae-won-park/profil/spieler/402141,RSK1,Gimcheon Sangmu Football Club,,
402142,Sang-min,Lee,Sang-min Lee,2025,6500,sang-min-lee,"Korea, South","Busanjin-gu, Busan","Korea, South",1998-01-01 00:00:00,Centre-Back,Defender,right,188.0,,GSEN Inc,https://img.a.transfermarkt.technology/portrait/header/402142-1446112531.jpg?lm=1,18.0,1.0,,https://www.transfermarkt.co.uk/sang-min-lee/profil/spieler/402142,RSK1,Football Club Seoul,,
402151,Sang-heon,Lee,Sang-heon Lee,2025,6505,sang-heon-lee,"Korea, South","Gyeongsan, Gyeongbuk","Korea, South",1998-02-26 00:00:00,Attacking Midfield,Midfield,right,178.0,2027-05-16 00:00:00,Woul Sports,https://img.a.transfermarkt.technology/portrait/header/402151-1585391256.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/sang-heon-lee/profil/spieler/402151,RSK1,Gimcheon Sangmu Football Club,,
402160,Jin-ya,Kim,Jin-ya Kim,2025,6499,jin-ya-kim,"Korea, South",Incheon,"Korea, South",1998-06-30 00:00:00,Left-Back,Defender,right,177.0,,JYP Management,https://img.a.transfermarkt.technology/portrait/header/402160-1584687919.jpg?lm=1,14.0,1.0,,https://www.transfermarkt.co.uk/jin-ya-kim/profil/spieler/402160,RSK1,Foundation Coorperation Hana Financial Group Inc. Football Club,,
402163,Jong-gyu,Yoon,Jong-gyu Yoon,2025,3535,jong-gyu-yoon,"Korea, South","Pohang, Gyeongbuk","Korea, South",1998-03-20 00:00:00,Right-Back,Defender,right,173.0,,IZ,https://img.a.transfermarkt.technology/portrait/header/402163-1584688022.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/jong-gyu-yoon/profil/spieler/402163,RSK1,Ulsan Hyundai Football Club,,
402164,Jun-seo,Lee,Jun-seo Lee,2025,6499,jun-seo-lee,"Korea, South",-,"Korea, South",1998-03-07 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jun-seo-lee/profil/spieler/402164,RSK1,Foundation Coorperation Hana Financial Group Inc. Football Club,,
402166,Seung-mo,Lee,Seung-mo Lee,2025,6500,seung-mo-lee,"Korea, South","Goyang, Gyeonggi","Korea, South",1998-03-30 00:00:00,Central Midfield,Midfield,right,186.0,2026-12-31 00:00:00,SQUARE SPORTS GROUP,https://img.a.transfermarkt.technology/portrait/header/402166-1615485414.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/seung-mo-lee/profil/spieler/402166,RSK1,Football Club Seoul,,
402167,Se-hun,Oh,Se-hun Oh,2025,1062,se-hun-oh,"Korea, South",Ulsan,"Korea, South",1999-01-15 00:00:00,Centre-Forward,Attack,left,193.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402167-1774193696.jpg?lm=1,10.0,2.0,,https://www.transfermarkt.co.uk/se-hun-oh/profil/spieler/402167,JAP1,S-Pulse,,
402168,Ju-hyeon,Lee,Ju-hyeon Lee,2025,6502,ju-hyeon-lee,"Korea, South",-,"Korea, South",1998-12-06 00:00:00,Goalkeeper,Goalkeeper,,188.0,,BG SPORTS MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/402168-1581840152.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ju-hyeon-lee/profil/spieler/402168,RSK1,Jeonbuk Hyundai Motors,,
402193,Kwang-song,Han,Kwang-song Han,2019,1390,kwang-song-han,"Korea, North",Pyongyang,"Korea, North",1998-09-11 00:00:00,Centre-Forward,Attack,,178.0,,,https://img.a.transfermarkt.technology/portrait/header/402193-1516114488.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kwang-song-han/profil/spieler/402193,IT1,Cagliari Calcio,400000.0,5000000.0
402363,,Kauê Silva,Kauê Silva,2018,18105,kaue-silva,Brazil,São Paulo,Brazil,1997-01-04 00:00:00,Centre-Forward,Attack,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kaue-silva/profil/spieler/402363,UKR1,PFK Lviv,100000.0,100000.0
402434,Sergey,Volkov,Sergey Volkov,2024,71985,sergey-volkov,Russia,"Togliatti, Samara Region",Russia,1995-05-10 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402434-1722317441.png?lm=1,,,,https://www.transfermarkt.co.uk/sergey-volkov/profil/spieler/402434,RU1,Akron Togliatti,,
402463,Cameron,Gilchrist,Cameron Gilchrist,2016,2451,cameron-gilchrist,England,Oxford,England,1997-07-29 00:00:00,Centre-Back,Defender,right,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cameron-gilchrist/profil/spieler/402463,SC1,Inverness Caledonian Thistle FC,,
402536,Yusuf Can,Abay,Yusuf Can Abay,2017,114,yusuf-can-abay,Turkey,Istanbul,Turkey,1998-02-04 00:00:00,Central Midfield,Midfield,left,175.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402536-1600190515.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yusuf-can-abay/profil/spieler/402536,TR1,Beşiktaş Jimnastik Kulübü,10000.0,50000.0
402581,Thomas,Rodríguez,Thomas Rodríguez,2025,830,thomas-rodriguez,Chile,Vitacura,Chile,1996-04-05 00:00:00,Right Winger,Attack,right,184.0,2028-12-31 00:00:00,Impacto Deportivo,https://img.a.transfermarkt.technology/portrait/header/402581-1771517766.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-rodriguez/profil/spieler/402581,ARG1,Club Atlético Banfield,250000.0,1200000.0
402604,Vladimir,Moskvichev,Vladimir Moskvichev,2024,71985,vladimir-moskvichev,Russia,Moskau,Russia,2000-03-02 00:00:00,Defensive Midfield,Midfield,right,178.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402604-1753106249.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/vladimir-moskvichev/profil/spieler/402604,RU1,Akron Togliatti,500000.0,600000.0
402613,Artem,Poplevchenkov,Artem Poplevchenkov,2020,232,artem-poplevchenkov,Russia,Moskau,Russia,2000-06-09 00:00:00,Goalkeeper,Goalkeeper,right,197.0,,,https://img.a.transfermarkt.technology/portrait/header/402613-1632578801.png?lm=1,,,,https://www.transfermarkt.co.uk/artem-poplevchenkov/profil/spieler/402613,RU1,FK Spartak Moskva,25000.0,200000.0
402618,Turgay,Mokhbaliev,Turgay Mokhbaliev,2019,28095,turgay-mokhbaliev,Azerbaijan,"Sirab, Nakhchivan Republic",Russia,2000-01-18 00:00:00,Right-Back,Defender,right,179.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402618-1636034239.png?lm=1,,,,https://www.transfermarkt.co.uk/turgay-mokhbaliev/profil/spieler/402618,RU1,FK Ufa,150000.0,200000.0
402624,Anton,Shitov,Anton Shitov,2022,232,anton-shitov,Russia,Moskau,Russia,2000-01-29 00:00:00,Goalkeeper,Goalkeeper,left,190.0,,MV Team,https://img.a.transfermarkt.technology/portrait/header/402624-1632578827.png?lm=1,,,,https://www.transfermarkt.co.uk/anton-shitov/profil/spieler/402624,RU1,FK Spartak Moskva,100000.0,250000.0
402625,Aleksey,Mironov,Aleksey Mironov,2025,1083,aleksey-mironov,Russia,Moskau,Russia,2000-01-01 00:00:00,Central Midfield,Midfield,right,175.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402625-1721923128.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/aleksey-mironov/profil/spieler/402625,RU1,FK Rostov,1000000.0,1200000.0
402627,José,Canale,José Canale,2025,333,jose-canale,Paraguay,Itauguá,Paraguay,1996-07-20 00:00:00,Centre-Back,Defender,left,187.0,2026-12-31 00:00:00,MV.SPORTS,https://img.a.transfermarkt.technology/portrait/header/402627-1721933937.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jose-canale/profil/spieler/402627,ARG1,Club Atlético Lanús,,
402630,Vladislav,Volkov,Vladislav Volkov,2023,3725,vladislav-volkov,Ukraine,"Bilgorod-Dnistrovskyi, Odesa Oblast",Russia,2000-05-18 00:00:00,Centre-Back,Defender,right,193.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402630-1634544810.png?lm=1,,,,https://www.transfermarkt.co.uk/vladislav-volkov/profil/spieler/402630,RU1,RFK Akhmat Grozny,300000.0,400000.0
402644,Athanasios,Pantos,Athanasios Pantos,2024,3062,athanasios-pantos,Greece,Athens,Greece,1998-10-09 00:00:00,Goalkeeper,Goalkeeper,,190.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402644-1747849985.jpg?lm=1,,,,https://www.transfermarkt.co.uk/athanasios-pantos/profil/spieler/402644,GR1,Athens Kallithea,,
402646,Christos,Antoniou,Christos Antoniou,2018,2441,christos-antoniou,Greece,Athens,Greece,1998-02-14 00:00:00,Right Winger,Attack,right,170.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christos-antoniou/profil/spieler/402646,GR1,Athlitiki Enosi Konstantinoupoleos,,
402647,Theodoros,Lampiris,Theodoros Lampiris,2016,21957,theodoros-lampiris,Greece,Kozani,Greece,1997-04-13 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/theodoros-lampiris/profil/spieler/402647,GR1,AO Platanias,75000.0,75000.0
402733,Gonzalo,Montiel,Gonzalo Montiel,2025,209,gonzalo-montiel,Argentina,González Catán,Argentina,1997-01-01 00:00:00,Right-Back,Defender,right,175.0,2028-12-31 00:00:00,Interplayers,https://img.a.transfermarkt.technology/portrait/header/402733-1762437910.png?lm=1,38.0,2.0,,https://www.transfermarkt.co.uk/gonzalo-montiel/profil/spieler/402733,ARG1,Club Atlético River Plate,4500000.0,17000000.0
402770,Matthew,Millar,Matthew Millar,2021,465,matthew-millar,Australia,Melbourne,Australia,1996-08-23 00:00:00,Right-Back,Defender,right,186.0,2023-06-30 00:00:00,Avid Sports Group,https://img.a.transfermarkt.technology/portrait/header/402770-1633080308.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthew-millar/profil/spieler/402770,SC1,Saint Mirren Football Club,400000.0,500000.0
402825,,Luquinhas,Luquinhas,2025,7154,luquinhas,Brazil,Ceilândia,Brazil,1996-09-28 00:00:00,Left Winger,Attack,right,169.0,2027-06-30 00:00:00,NEWROFOOT LDA,https://img.a.transfermarkt.technology/portrait/header/402825-1721813169.png?lm=1,,,,https://www.transfermarkt.co.uk/luquinhas/profil/spieler/402825,PL1,Radomiak S.A.,3000000.0,3500000.0
402874,Dmytro,Lytvyn,Dmytro Lytvyn,2019,23611,dmytro-lytvyn,Ukraine,"Myronivka, Kyiv Oblast",Ukraine,1996-11-21 00:00:00,Centre-Back,Defender,left,187.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402874-1614141891.png?lm=1,,,,https://www.transfermarkt.co.uk/dmytro-lytvyn/profil/spieler/402874,UKR1,Olimpik Donetsk,150000.0,300000.0
402884,Nicolas,Gerits,Nicolas Gerits,2015,475,nicolas-gerits,Belgium,Rocourt,Belgium,1995-08-02 00:00:00,Right-Back,Defender,right,175.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/402884-1472047054.png?lm=1,,,,https://www.transfermarkt.co.uk/nicolas-gerits/profil/spieler/402884,BE1,Koninklijke Sint-Truidense Voetbalvereniging,50000.0,50000.0
402887,Anastasios,Chatzigiovanis,Anastasios Chatzigiovanis,2024,7160,anastasios-chatzigiovanis,Greece,Mytilini,Greece,1997-05-31 00:00:00,Left Winger,Attack,right,177.0,2027-05-31 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/402887-1762903542.png?lm=1,15.0,0.0,,https://www.transfermarkt.co.uk/anastasios-chatzigiovanis/profil/spieler/402887,TR1,Eyüp Spor Kulübü,900000.0,2000000.0
402893,Vangelis,Theocharis,Vangelis Theocharis,2021,265,vangelis-theocharis,Greece,Livadia,Greece,1998-07-06 00:00:00,Defensive Midfield,Midfield,right,181.0,2023-06-30 00:00:00,FAIR FOOTBALL AGENCY,https://img.a.transfermarkt.technology/portrait/header/402893-1530210634.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vangelis-theocharis/profil/spieler/402893,GR1,Panathinaikos Athlitikos Omilos,200000.0,300000.0
402925,Giannis,Papadopoulos,Giannis Papadopoulos,2016,2441,giannis-papadopoulos,Greece,Egio,Greece,1998-09-21 00:00:00,Goalkeeper,Goalkeeper,,183.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giannis-papadopoulos/profil/spieler/402925,GR1,Athlitiki Enosi Konstantinoupoleos,125000.0,150000.0
402957,Marios,Kostoulas,Marios Kostoulas,2018,3060,marios-kostoulas,Greece,Larisa,Greece,1996-03-12 00:00:00,Centre-Back,Defender,right,183.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marios-kostoulas/profil/spieler/402957,GR1,APS Atromitos Athinon,200000.0,200000.0
402961,Nikolaos,Lazaridis,Nikolaos Lazaridis,2018,3060,nikolaos-lazaridis,,,Greece,1997-04-12 00:00:00,,Missing,,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nikolaos-lazaridis/profil/spieler/402961,GR1,APS Atromitos Athinon,100000.0,100000.0
